Column1,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
FDB38,12.857645184135976,Regular,0.0,Canned,160.69,OUT019,1985,Small,Tier 1,Grocery Store,319.58,40
FDI27,8.71,Regular,0.05,Dairy,43.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.84,26
FDD29,12.15,Low Fat,0.03,Frozen Foods,252.07,OUT010,1998,Medium,Tier 3,Grocery Store,1014.68,27
NCR41,17.85,Low Fat,0.02,Health and Hygiene,97.01,OUT045,2002,Medium,Tier 2,Supermarket Type1,2094.61,23
FDW44,9.5,Regular,0.04,Fruits and Vegetables,171.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,2386.23,26
FDU21,11.8,Regular,0.08,Snack Foods,34.76,OUT035,2004,Small,Tier 2,Supermarket Type1,780.98,21
FDI14,14.1,Low Fat,0.09,Canned,139.85,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.8,28
FDW50,12.857645184135976,Low Fat,0.13,Dairy,168.42,OUT019,1985,Small,Tier 1,Grocery Store,334.23,40
FDN39,19.35,Regular,0.07,Meat,168.38,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.25,28
FDT31,19.75,Low Fat,0.01,Fruits and Vegetables,190.69,OUT017,2007,Medium,Tier 2,Supermarket Type1,4916.27,18
FDJ14,10.3,Regular,0.05,Canned,78.7,OUT017,2007,Medium,Tier 2,Supermarket Type1,1757.71,18
NCQ43,12.857645184135976,Low Fat,0.11,Others,108.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,1637.87,40
FDZ22,12.857645184135976,Low Fat,0.05,Snack Foods,84.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,1747.72,40
FDU38,10.8,Low Fat,0.08,Dairy,193.45,OUT017,2007,Medium,Tier 2,Supermarket Type1,2876.26,18
FDS32,17.75,Regular,0.0,Fruits and Vegetables,139.98,OUT045,2002,Medium,Tier 2,Supermarket Type1,1966.77,23
DRH13,8.575,Low Fat,0.02,Soft Drinks,106.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.75,16
DRF03,19.1,Low Fat,0.08,Dairy,40.21,OUT010,1998,Medium,Tier 3,Grocery Store,81.23,27
FDJ20,20.7,Regular,0.1,Fruits and Vegetables,123.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,1238.39,26
FDE22,12.857645184135976,Low Fat,0.05,Snack Foods,157.89,OUT019,1985,Small,Tier 1,Grocery Store,319.58,40
FDX22,6.785,Regular,0.02,Snack Foods,211.09,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.25,21
DRM11,6.57,Low Fat,0.07,Hard Drinks,259.73,OUT013,1987,High,Tier 3,Supermarket Type1,2863.61,38
FDL58,5.78,Regular,0.07,Snack Foods,264.96,OUT045,2002,Medium,Tier 2,Supermarket Type1,1845.6,23
FDL25,6.92,Regular,0.13,Breakfast,93.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1561.97,26
FDD40,20.25,Regular,0.01,Dairy,194.12,OUT049,1999,Medium,Tier 1,Supermarket Type1,3848.32,26
FDT08,13.65,Low Fat,0.05,Fruits and Vegetables,149.0,OUT045,2002,Medium,Tier 2,Supermarket Type1,2097.27,23
FDO22,13.5,Regular,0.02,Snack Foods,81.6,OUT017,2007,Medium,Tier 2,Supermarket Type1,639.17,18
NCM41,16.5,Low Fat,0.04,Health and Hygiene,92.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.27,16
FDJ21,16.7,Regular,0.04,Snack Foods,146.51,OUT045,2002,Medium,Tier 2,Supermarket Type1,2770.39,23
FDC53,8.68,Low Fat,0.01,Frozen Foods,99.74,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.62,16
DRK35,12.857645184135976,Low Fat,0.13,Hard Drinks,36.25,OUT019,1985,Small,Tier 1,Grocery Store,37.95,40
FDQ09,7.235,Low Fat,0.06,Snack Foods,115.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1267.02,16
DRB48,16.75,Regular,0.0,Soft Drinks,39.38,OUT046,1997,Small,Tier 1,Supermarket Type1,353.54,28
DRE25,15.35,Low Fat,0.07,Soft Drinks,92.11,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.54,21
FDL08,10.8,Low Fat,0.05,Fruits and Vegetables,245.91,OUT013,1987,High,Tier 3,Supermarket Type1,4655.27,38
NCV42,6.26,Low Fat,0.03,Household,110.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1547.32,26
FDW03,5.63,Regular,0.02,Meat,105.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.31,26
FDL25,6.92,Regular,0.13,Breakfast,91.88,OUT017,2007,Medium,Tier 2,Supermarket Type1,275.64,18
FDC17,12.15,Low Fat,0.02,Frozen Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.11,16
FDK44,16.6,Low Fat,0.12,Fruits and Vegetables,175.57,OUT045,2002,Medium,Tier 2,Supermarket Type1,347.55,23
FDE34,9.195,Low Fat,0.11,Snack Foods,182.76,OUT046,1997,Small,Tier 1,Supermarket Type1,3817.03,28
FDP10,19.0,Low Fat,0.13,Snack Foods,104.36,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.52,21
FDZ22,9.395,Low Fat,0.05,Snack Foods,83.82,OUT045,2002,Medium,Tier 2,Supermarket Type1,665.8,23
NCK19,9.8,Low Fat,0.09,Others,192.15,OUT013,1987,High,Tier 3,Supermarket Type1,2324.97,38
FDO44,12.857645184135976,Low Fat,0.09,Fruits and Vegetables,109.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.16,40
NCU41,18.85,Low Fat,0.05,Health and Hygiene,189.18,OUT046,1997,Small,Tier 1,Supermarket Type1,2101.93,28
NCF31,9.13,Low Fat,0.05,Household,152.3,OUT045,2002,Medium,Tier 2,Supermarket Type1,1821.63,23
FDG14,9.0,Regular,0.05,Canned,152.2,OUT017,2007,Medium,Tier 2,Supermarket Type1,3643.26,18
NCH30,17.1,Low Fat,0.07,Household,114.59,OUT035,2004,Small,Tier 2,Supermarket Type1,2942.84,21
FDR36,6.715,Regular,0.12,Baking Goods,40.25,OUT013,1987,High,Tier 3,Supermarket Type1,587.24,38
NCJ30,5.82,Low Fat,0.08,Household,167.78,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.24,28
FDR08,18.7,Low Fat,0.04,Fruits and Vegetables,110.29,OUT045,2002,Medium,Tier 2,Supermarket Type1,2223.77,23
FDU04,7.93,Low Fat,0.0,Frozen Foods,123.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.37,16
NCQ50,18.75,Low Fat,0.03,Household,211.72,OUT017,2007,Medium,Tier 2,Supermarket Type1,5770.49,18
FDL46,12.857645184135976,Low Fat,0.05,Snack Foods,117.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1414.16,40
DRK37,5.0,Low Fat,0.04,Soft Drinks,188.85,OUT046,1997,Small,Tier 1,Supermarket Type1,5502.84,28
FDK48,7.445,Low Fat,0.0,Baking Goods,76.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.83,28
FDV58,20.85,Low Fat,0.12,Snack Foods,193.95,OUT046,1997,Small,Tier 1,Supermarket Type1,1565.96,28
FDN27,20.85,Low Fat,0.0,Meat,115.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,1054.63,16
FDZ52,19.2,Low Fat,0.1,Frozen Foods,112.99,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.83,26
NCF42,17.35,Low Fat,0.17,Household,175.67,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.34,28
FDQ48,14.3,Regular,0.03,Baking Goods,98.17,OUT035,2004,Small,Tier 2,Supermarket Type1,489.36,21
FDW49,19.5,Low Fat,0.08,Canned,179.3,OUT045,2002,Medium,Tier 2,Supermarket Type1,2865.6,23
FDR58,6.675,Low Fat,0.04,Snack Foods,90.75,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.83,21
NCE07,8.18,Low Fat,0.01,Household,143.82,OUT017,2007,Medium,Tier 2,Supermarket Type1,2694.49,18
FDK14,6.98,Low Fat,0.04,Canned,83.49,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.97,28
FDC11,12.857645184135976,Low Fat,0.14,Starchy Foods,87.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.34,40
FDL22,16.85,Low Fat,0.04,Snack Foods,90.75,OUT045,2002,Medium,Tier 2,Supermarket Type1,543.29,23
NCQ41,14.8,Low Fat,0.02,Health and Hygiene,196.38,OUT013,1987,High,Tier 3,Supermarket Type1,1950.79,38
FDX46,12.3,Regular,0.0,Snack Foods,57.36,OUT013,1987,High,Tier 3,Supermarket Type1,177.77,38
FDC35,7.435,Low Fat,0.12,Starchy Foods,206.96,OUT045,2002,Medium,Tier 2,Supermarket Type1,1035.32,23
FDH45,15.1,Regular,0.11,Fruits and Vegetables,42.88,OUT035,2004,Small,Tier 2,Supermarket Type1,949.43,21
FDX33,9.195,Regular,0.12,Snack Foods,160.56,OUT017,2007,Medium,Tier 2,Supermarket Type1,1283.66,18
DRJ35,10.1,Low Fat,0.05,Hard Drinks,59.99,OUT013,1987,High,Tier 3,Supermarket Type1,484.7,38
FDC40,16.0,Regular,0.07,Dairy,79.6,OUT013,1987,High,Tier 3,Supermarket Type1,934.78,38
FDO19,17.7,Regular,0.02,Fruits and Vegetables,48.1,OUT045,2002,Medium,Tier 2,Supermarket Type1,534.64,23
FDP13,8.1,Regular,0.13,Canned,39.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.86,26
FDP24,20.6,Low Fat,0.08,Baking Goods,120.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.93,26
NCQ42,20.35,Low Fat,0.04,Household,127.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.7,16
FDY59,8.195,Low Fat,0.0,Baking Goods,93.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,647.82,16
FDU14,17.75,Low Fat,0.03,Dairy,248.68,OUT045,2002,Medium,Tier 2,Supermarket Type1,4993.5,23
FDB21,7.475,Low Fat,0.15,Fruits and Vegetables,240.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1691.8,21
FDT32,19.0,Regular,0.07,Fruits and Vegetables,188.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,1695.79,16
FDK20,12.6,Regular,0.04,Fruits and Vegetables,124.01,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.74,26
FDX09,12.857645184135976,Low Fat,0.06,Snack Foods,174.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.8,40
FDM01,7.895,Regular,0.09,Breakfast,102.63,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.53,21
DRI37,12.857645184135976,Low Fat,0.11,Soft Drinks,58.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1288.99,40
FDL20,17.1,Low Fat,0.13,Fruits and Vegetables,112.39,OUT045,2002,Medium,Tier 2,Supermarket Type1,2334.96,23
FDU13,8.355,Low Fat,0.19,Canned,148.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.13,16
FDE05,12.857645184135976,Regular,0.0,Frozen Foods,145.21,OUT019,1985,Small,Tier 1,Grocery Store,437.43,40
FDE58,18.5,Low Fat,0.05,Snack Foods,118.41,OUT013,1987,High,Tier 3,Supermarket Type1,2370.25,38
FDT32,12.857645184135976,Regular,0.07,Fruits and Vegetables,189.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,5087.38,40
FDZ01,8.975,Regular,0.02,Canned,101.9,OUT010,1998,Medium,Tier 3,Grocery Store,103.2,27
FDM08,10.1,Regular,0.05,Fruits and Vegetables,224.41,OUT046,1997,Small,Tier 1,Supermarket Type1,4697.88,28
FDS58,9.285,Regular,0.02,Snack Foods,158.66,OUT013,1987,High,Tier 3,Supermarket Type1,2406.87,38
FDZ26,11.6,Regular,0.14,Dairy,238.32,OUT046,1997,Small,Tier 1,Supermarket Type1,5736.53,28
FDC46,12.857645184135976,Low Fat,0.12,Snack Foods,183.43,OUT027,1985,Medium,Tier 3,Supermarket Type3,7192.64,40
FDY51,12.5,Low Fat,0.08,Meat,220.78,OUT018,2009,Medium,Tier 3,Supermarket Type2,6611.39,16
FDL34,16.0,Low Fat,0.04,Snack Foods,142.35,OUT017,2007,Medium,Tier 2,Supermarket Type1,3246.44,18
DRG39,14.15,Low Fat,0.04,Dairy,51.7,OUT018,2009,Medium,Tier 3,Supermarket Type2,1262.36,16
NCG43,20.2,Low Fat,0.07,Household,94.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,1758.38,16
FDT01,13.65,Regular,0.18,Canned,211.59,OUT045,2002,Medium,Tier 2,Supermarket Type1,4672.58,23
NCR38,17.25,Low Fat,0.11,Household,253.17,OUT017,2007,Medium,Tier 2,Supermarket Type1,3775.09,18
DRF01,5.655,Low Fat,0.18,Soft Drinks,147.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,2478.77,26
FDF53,20.75,Regular,0.08,Frozen Foods,182.23,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.34,21
FDS45,5.175,Regular,0.03,Snack Foods,105.46,OUT013,1987,High,Tier 3,Supermarket Type1,3281.73,38
FDR20,20.0,Regular,0.03,Fruits and Vegetables,46.27,OUT017,2007,Medium,Tier 2,Supermarket Type1,1086.59,18
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,46.54,OUT010,1998,Medium,Tier 3,Grocery Store,229.7,27
FDD38,16.75,Regular,0.01,Canned,102.87,OUT045,2002,Medium,Tier 2,Supermarket Type1,1528.01,23
DRF15,18.35,Low Fat,0.03,Dairy,155.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,1990.74,16
FDH32,12.8,Low Fat,0.08,Fruits and Vegetables,95.14,OUT046,1997,Small,Tier 1,Supermarket Type1,868.87,28
NCJ42,19.75,Low Fat,0.01,Household,103.03,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.4,28
FDB56,8.75,Regular,0.07,Fruits and Vegetables,187.66,OUT018,2009,Medium,Tier 3,Supermarket Type2,938.78,16
FDD03,13.3,Low Fat,0.08,Dairy,234.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,4194.54,16
NCL18,18.85,Low Fat,0.17,Household,194.61,OUT013,1987,High,Tier 3,Supermarket Type1,1166.48,38
FDW22,9.695,Regular,0.03,Snack Foods,222.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,5764.5,26
FDE32,20.7,Low Fat,0.05,Fruits and Vegetables,37.55,OUT035,2004,Small,Tier 2,Supermarket Type1,113.85,21
FDA34,12.857645184135976,Low Fat,0.01,Starchy Foods,174.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,7443.64,40
FDJ08,11.1,Low Fat,0.11,Fruits and Vegetables,191.78,OUT017,2007,Medium,Tier 2,Supermarket Type1,3057.35,18
FDG38,8.975,Regular,0.05,Canned,83.32,OUT013,1987,High,Tier 3,Supermarket Type1,3579.34,38
FDD29,12.15,Low Fat,0.02,Frozen Foods,253.17,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.02,16
NCE31,7.67,Low Fat,0.18,Household,35.42,OUT013,1987,High,Tier 3,Supermarket Type1,450.08,38
FDS19,13.8,Regular,0.06,Fruits and Vegetables,76.9,OUT013,1987,High,Tier 3,Supermarket Type1,607.21,38
FDU11,4.785,Low Fat,0.09,Breads,120.11,OUT013,1987,High,Tier 3,Supermarket Type1,1325.61,38
FDL02,20.0,Regular,0.1,Canned,105.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270.35,26
FDO51,12.857645184135976,Regular,0.04,Meat,43.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,1107.89,40
DRK23,8.395,Low Fat,0.07,Hard Drinks,254.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,3542.06,16
FDO27,6.175,Regular,0.18,Meat,95.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534.0,16
FDB16,8.21,Low Fat,0.04,Dairy,89.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308.3,26
FDA44,19.7,Low Fat,0.05,Fruits and Vegetables,55.39,OUT017,2007,Medium,Tier 2,Supermarket Type1,1471.42,18
NCB18,19.6,Low Fat,0.04,Household,89.65,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.72,16
NCL53,7.5,Low Fat,0.04,Health and Hygiene,175.3,OUT046,1997,Small,Tier 1,Supermarket Type1,3896.26,28
FDR16,5.845,Regular,0.11,Frozen Foods,214.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496.05,16
NCQ05,11.395,Low Fat,0.0,Health and Hygiene,151.67,OUT013,1987,High,Tier 3,Supermarket Type1,3460.83,38
FDF44,7.17,Regular,0.06,Fruits and Vegetables,132.2,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870.93,16
FDU50,5.75,Regular,0.08,Dairy,114.72,OUT017,2007,Medium,Tier 2,Supermarket Type1,1259.69,18
FDG20,15.5,Regular,0.21,Fruits and Vegetables,178.2,OUT010,1998,Medium,Tier 3,Grocery Store,177.1,27
FDD58,7.76,Low Fat,0.06,Snack Foods,99.77,OUT035,2004,Small,Tier 2,Supermarket Type1,798.96,21
FDT01,13.65,Regular,0.19,Canned,212.99,OUT017,2007,Medium,Tier 2,Supermarket Type1,3185.85,18
FDK15,10.8,Low Fat,0.1,Meat,98.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488.06,26
FDJ08,11.1,Low Fat,0.11,Fruits and Vegetables,189.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,5159.28,26
FDS10,12.857645184135976,Low Fat,0.04,Snack Foods,182.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,5954.25,40
FDJ55,12.8,Regular,0.02,Meat,226.84,OUT049,1999,Medium,Tier 1,Supermarket Type1,4500.81,26
FDU32,8.785,Low Fat,0.0,Fruits and Vegetables,123.04,OUT010,1998,Medium,Tier 3,Grocery Store,121.84,27
FDG09,20.6,Regular,0.05,Fruits and Vegetables,185.96,OUT035,2004,Small,Tier 2,Supermarket Type1,4318.38,21
FDE39,7.89,Low Fat,0.04,Dairy,121.08,OUT045,2002,Medium,Tier 2,Supermarket Type1,3456.17,23
FDU56,16.85,Low Fat,0.04,Fruits and Vegetables,185.83,OUT013,1987,High,Tier 3,Supermarket Type1,1659.84,38
NCH55,16.35,Low Fat,0.03,Household,127.4,OUT045,2002,Medium,Tier 2,Supermarket Type1,759.01,23
FDX33,12.857645184135976,Regular,0.12,Snack Foods,159.46,OUT027,1985,Medium,Tier 3,Supermarket Type3,4974.19,40
FDR24,17.35,Regular,0.06,Baking Goods,87.98,OUT045,2002,Medium,Tier 2,Supermarket Type1,1707.78,23
FDC33,12.857645184135976,Regular,0.07,Fruits and Vegetables,197.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,7488.92,40
NCV54,12.857645184135976,Low Fat,0.03,Household,116.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488.76,40
NCQ02,12.6,Low Fat,0.01,Household,186.76,OUT013,1987,High,Tier 3,Supermarket Type1,2816.33,38
NCU17,5.32,Low Fat,0.09,Health and Hygiene,101.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.15,26
NCZ06,12.857645184135976,Low Fat,0.16,Household,255.27,OUT019,1985,Small,Tier 1,Grocery Store,761.01,40
FDV37,13.0,Regular,0.08,Canned,199.44,OUT035,2004,Small,Tier 2,Supermarket Type1,593.23,21
DRH25,12.857645184135976,Low Fat,0.01,Soft Drinks,50.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298.31,40
NCI43,19.85,Low Fat,0.03,Household,46.34,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5,21
NCQ53,17.6,Low Fat,0.02,Health and Hygiene,237.16,OUT017,2007,Medium,Tier 2,Supermarket Type1,3072.67,18
NCT18,14.6,Low Fat,0.06,Household,181.8,OUT035,2004,Small,Tier 2,Supermarket Type1,3259.76,21
FDF14,7.55,Low Fat,0.03,Canned,152.73,OUT049,1999,Medium,Tier 1,Supermarket Type1,2756.41,26
FDM14,13.8,Low Fat,0.01,Canned,106.93,OUT046,1997,Small,Tier 1,Supermarket Type1,2930.19,28
FDX57,17.25,Regular,0.08,Snack Foods,99.21,OUT010,1998,Medium,Tier 3,Grocery Store,97.21,27
NCV05,10.1,Low Fat,0.03,Health and Hygiene,153.17,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.66,28
FDX39,14.3,Regular,0.05,Meat,212.56,OUT013,1987,High,Tier 3,Supermarket Type1,3165.88,38
FDA23,9.8,Low Fat,0.05,Baking Goods,100.6,OUT046,1997,Small,Tier 1,Supermarket Type1,1619.23,28
NCV06,11.3,Low Fat,0.07,Household,194.45,OUT046,1997,Small,Tier 1,Supermarket Type1,387.5,28
NCE31,7.67,Low Fat,0.19,Household,36.32,OUT045,2002,Medium,Tier 2,Supermarket Type1,415.46,23
DRI39,13.8,Low Fat,0.16,Dairy,55.89,OUT010,1998,Medium,Tier 3,Grocery Store,226.37,27
FDH21,10.395,Low Fat,0.03,Seafood,160.06,OUT049,1999,Medium,Tier 1,Supermarket Type1,1267.68,26
FDR26,20.7,Low Fat,0.04,Dairy,175.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.93,28
FDA14,12.857645184135976,Low Fat,0.11,Dairy,147.18,OUT019,1985,Small,Tier 1,Grocery Store,585.9,40
FDG21,17.35,Regular,0.15,Seafood,149.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,3745.12,16
NCQ38,16.35,Low Fat,0.01,Others,104.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,1810.98,16
FDN20,19.35,Low Fat,0.03,Fruits and Vegetables,167.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2358.26,28
NCN29,15.2,Low Fat,0.01,Health and Hygiene,50.3,OUT017,2007,Medium,Tier 2,Supermarket Type1,145.81,18
FDI28,14.3,Low Fat,0.03,Frozen Foods,78.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.61,16
FDA03,12.857645184135976,Regular,0.05,Dairy,146.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,3499.44,40
FDZ28,20.0,Regular,0.0,Frozen Foods,127.37,OUT046,1997,Small,Tier 1,Supermarket Type1,1780.35,28
FDO52,12.857645184135976,Regular,0.08,Frozen Foods,172.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566.66,40
FDU10,10.1,Regular,0.05,Snack Foods,38.28,OUT017,2007,Medium,Tier 2,Supermarket Type1,1230.4,18
FDP13,12.857645184135976,Regular,0.13,Canned,41.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,918.8,40
FDV02,12.857645184135976,Low Fat,0.06,Dairy,170.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,3079.99,40
FDS28,8.18,Regular,0.08,Frozen Foods,56.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,744.36,26
FDW49,19.5,Low Fat,0.08,Canned,179.8,OUT046,1997,Small,Tier 1,Supermarket Type1,716.4,28
FDP33,18.7,Low Fat,0.09,Snack Foods,254.77,OUT046,1997,Small,Tier 1,Supermarket Type1,5113.34,28
FDJ03,12.35,Regular,0.07,Dairy,48.57,OUT045,2002,Medium,Tier 2,Supermarket Type1,886.85,23
FDQ51,16.0,Regular,0.02,Meat,45.57,OUT013,1987,High,Tier 3,Supermarket Type1,1039.98,38
DRK23,8.395,Low Fat,0.07,Hard Drinks,253.7,OUT049,1999,Medium,Tier 1,Supermarket Type1,4554.07,26
FDU11,4.785,Low Fat,0.09,Breads,119.71,OUT045,2002,Medium,Tier 2,Supermarket Type1,1807.65,23
NCK06,5.03,Low Fat,0.01,Household,122.68,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.86,21
FDY09,15.6,Low Fat,0.03,Snack Foods,174.31,OUT017,2007,Medium,Tier 2,Supermarket Type1,1751.05,18
NCY18,7.285,Low Fat,0.03,Household,173.61,OUT035,2004,Small,Tier 2,Supermarket Type1,2626.58,21
FDA10,20.35,Low Fat,0.0,Snack Foods,120.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470.09,26
FDO34,17.7,Low Fat,0.03,Snack Foods,165.98,OUT017,2007,Medium,Tier 2,Supermarket Type1,4362.32,18
FDE38,12.857645184135976,Low Fat,0.04,Canned,164.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,4476.17,40
FDF40,20.25,Regular,0.02,Dairy,248.41,OUT017,2007,Medium,Tier 2,Supermarket Type1,2241.08,18
FDY02,8.945,Regular,0.0,Dairy,264.79,OUT017,2007,Medium,Tier 2,Supermarket Type1,4733.84,18
FDS03,12.857645184135976,Low Fat,0.14,Meat,66.08,OUT019,1985,Small,Tier 1,Grocery Store,258.33,40
FDB59,18.25,Low Fat,0.02,Snack Foods,199.01,OUT046,1997,Small,Tier 1,Supermarket Type1,3174.53,28
NCQ42,20.35,Low Fat,0.04,Household,127.67,OUT049,1999,Medium,Tier 1,Supermarket Type1,2924.86,26
FDO15,16.75,Regular,0.01,Meat,72.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,960.75,26
DRN47,12.1,Low Fat,0.03,Hard Drinks,178.17,OUT010,1998,Medium,Tier 3,Grocery Store,539.3,27
FDA03,18.5,Regular,0.0,Dairy,144.21,OUT035,2004,Small,Tier 2,Supermarket Type1,2041.34,21
FDA01,15.0,Regular,0.05,Canned,58.59,OUT035,2004,Small,Tier 2,Supermarket Type1,996.04,21
FDB38,19.5,Regular,0.03,Canned,158.99,OUT046,1997,Small,Tier 1,Supermarket Type1,1757.71,28
FDT59,13.65,Low Fat,0.02,Breads,230.67,OUT017,2007,Medium,Tier 2,Supermarket Type1,1842.93,18
FDG08,13.15,Regular,0.17,Fruits and Vegetables,170.68,OUT035,2004,Small,Tier 2,Supermarket Type1,3435.53,21
FDV56,12.857645184135976,Regular,0.01,Fruits and Vegetables,106.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,1402.17,40
FDY26,20.6,Regular,0.03,Dairy,211.42,OUT046,1997,Small,Tier 1,Supermarket Type1,7833.8,28
DRE13,6.28,Low Fat,0.03,Soft Drinks,87.92,OUT035,2004,Small,Tier 2,Supermarket Type1,1221.08,21
FDE51,5.925,Regular,0.1,Dairy,42.81,OUT046,1997,Small,Tier 1,Supermarket Type1,669.13,28
FDL40,17.7,Low Fat,0.01,Frozen Foods,94.54,OUT045,2002,Medium,Tier 2,Supermarket Type1,1061.95,23
FDD50,18.85,Low Fat,0.14,Canned,168.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2874.92,28
FDC04,12.857645184135976,Low Fat,0.04,Dairy,241.89,OUT027,1985,Medium,Tier 3,Supermarket Type3,4592.02,40
FDN15,17.5,Low Fat,0.03,Meat,141.72,OUT010,1998,Medium,Tier 3,Grocery Store,419.45,27
FDC46,17.7,Low Fat,0.12,Snack Foods,182.83,OUT013,1987,High,Tier 3,Supermarket Type1,5163.94,38
FDV56,16.1,Regular,0.01,Fruits and Vegetables,107.76,OUT013,1987,High,Tier 3,Supermarket Type1,323.58,38
FDK43,9.8,Low Fat,0.03,Meat,128.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,1265.02,16
NCR29,7.565,Low Fat,0.05,Health and Hygiene,54.79,OUT045,2002,Medium,Tier 2,Supermarket Type1,622.52,23
FDY03,17.6,Regular,0.08,Meat,111.72,OUT046,1997,Small,Tier 1,Supermarket Type1,1125.2,28
FDU44,12.15,Regular,0.06,Fruits and Vegetables,164.16,OUT049,1999,Medium,Tier 1,Supermarket Type1,5198.57,26
